# staff_id, name, staff_role
1, Chris Cooper, support
2, Sean Hill, support
7, Krista Mcintosh, support
9, Kimberly Duncan, support
11, Melvin Gray, support
13, Robin Clark, support
15, Charles Rodgers, support
22, Donald Hoffman, support
24, Sarah Jensen, support
26, Harry Morrison, support
30, Melissa Ortega, support
35, Kendra Lloyd, support
37, Lynn Alvarez, support
40, Jessica Kelly, support
41, Cody Perez, support
42, John Burch, support
44, Deborah Mathews, support
45, Roberta Brown, support
49, Ariel Brock, support
50, Troy Moore, support
